FID,Shape,author,year,family,genus,species,bodymass_g_pantheria,Dmin,D,Log10 D,Dmax,SE,Coeficient of variation,dispersion,detection_method,new_detection_method,analitical_method,new_analitical_method,method,place,environment,new_environment,Lat,Long,sampling_effort,effort_unit,season,link,doi,country,state_province,annual_precipitation,Altitude
0,Point,Oscar et al,2013,Cervidae,Mazama,temama,14000,NA,8.3,0.919078092,NA,NA,NA,NA,footprint,Indirect method,census,Census,Indirect method_Census,Puebla province,NA,Dense Forest,20,-98,NA,NA,NA,NA,NA,Mexico,Puebla,2078,736
1,Point,Oscar et al,2013,Cervidae,Mazama,temama,14000,NA,3.7,0.568201724,NA,NA,NA,NA,footprint,Indirect method,census,Census,Indirect method_Census,Puebla province,NA,Dense Forest,19.9,-97,NA,NA,NA,NA,NA,Mexico,Puebla,1401,1558
2,Point,Oscar et al,2013,Cervidae,Mazama,temama,14000,NA,5.5,0.74036269,NA,NA,NA,NA,footprint,Indirect method,census,Census,Indirect method_Census,Puebla province,NA,Dense Forest,19.9,-98,NA,NA,NA,NA,NA,Mexico,Puebla,938,1940
3,Point,Mandujano,1999,Tayassuidae,Dicotyles,tajacu,21133.69,3.3,4.9,0.69019608,6.5,1.6,0.326530612,SE,sighting,sighting,census,Census,sighting_Census,Chamela Biological Station,tropical dry forest,Dense Forest,19.586447,-105,32,km2,year_long,Variation in herd size of collared peccaries in a Mexican tropical forest on JSTOR,NA,Mexico,Jalisco,1046,163
4,Point,Mandujano,2007,Tayassuidae,Dicotyles,tajacu,21133.69,NA,7.5,0.875061263,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Chamela Biological Station,tropical dry forest,Dense Forest,19.500152,-105,33,km2,year_long,NA,10.1111/j.1744-7429.2007.00305.x,Mexico,Jalisco,1028,167
5,Point,Yañes-Arenas & Mandujano,2015,Cervidae,Odocoileus,virginianus,75901.25,0.98,2.03,0.307496038,3.08,1.05,0.517241379,NA,faeces_footprints,Indirect method,FSC/Counting,Fecal pellets counts,Indirect method_Fecal pellets counts,Tehuacán-Cuicatlán Biosphere Reserve,Deciduos dry forest,Open Forest,18.88,-97,88,km,year_long,NA,NA,Mexico,Puebla,708,2690
6,Point,Oscar et al,2013,Cervidae,Mazama,temama,14000,NA,4.2,0.62324929,NA,NA,NA,NA,footprint,Indirect method,census,Census,Indirect method_Census,Puebla province,NA,Dense Forest,18.6,-98,NA,NA,NA,NA,NA,Mexico,Puebla,484,2134
7,Point,Weber,2005,Cervidae,Odocoileus,virginianus,75901.25,0.005,0.009,-2.045757491,0.013,0.004,0.444444444,SE,sighting,sighting,distance,Distance,sighting_Distance,Calakmul Biosphere Reserve,Tropical forest,Dense Forest,18.66,-89,128,km,year_long,NA,NA,Mexico,Campeche,985,242
8,Point,Weber,2005,Cervidae,Odocoileus,virginianus,75901.25,NA,0.021,-1.677780705,NA,NA,NA,NA,sighting,sighting,distance,Distance,sighting_Distance,Calakmul Biosphere Reserve,Tropical forest,Dense Forest,18.66,-89,1432,km,year_long,NA,NA,Mexico,Campeche,985,242
9,Point,Oscar et al,2013,Cervidae,Mazama,temama,14000,NA,5.5,0.74036269,NA,NA,NA,NA,footprint,Indirect method,census,Census,Indirect method_Census,Puebla province,NA,Dense Forest,18.5,-97,NA,NA,NA,NA,NA,Mexico,Veracruz,2353,840
